"norm","t","skst","ald","aparch-skst","NA","fix.ald","his"
"44",-0.0400298882138831,-0.0377389939499234,-0.0374043002223278,-0.054949743363205,-0.0512837318130091,-0.0512837318130091,-0.0781208505391807,-0.0692314754988928
"45",-0.0411155609373554,-0.0412458602745393,-0.0471652784136775,-0.0632213704314466,-0.0519490549285878,-0.0519490549285878,-0.0781208505391807,-0.0692314754988928
"46",-0.041198150929902,-0.0416120993126492,-0.0466759788077179,-0.0645113703682597,-0.0485590658069094,-0.0485590658069094,-0.0778437960640201,-0.0692314754988928
"47",-0.0416165603004637,-0.0426590205865698,-0.0479941141048354,-0.066366005726418,-0.0496242261393607,-0.0496242261393607,-0.0778437960640201,-0.0692314754988928
"48",-0.0429043463162038,-0.0454800632071275,-0.0526170610128806,-0.0706874985709988,-0.0477261783351353,-0.0477261783351353,-0.0778437960640201,-0.0692314754988928
"49",-0.0412303339963838,-0.0415592409181593,-0.0440283812200104,-0.0589528941068928,-0.0495869404901252,-0.0495869404901252,-0.0778437960640201,-0.0692314754988928
"50",-0.0398771815529361,-0.0385932712974004,-0.0392963243606554,-0.0527601061204494,-0.0465515478495706,-0.0465515478495706,-0.0778437960640201,-0.0692314754988928
"51",-0.0383990435282534,-0.0355624401521374,-0.0350590683487498,-0.0463683849967075,-0.0480642372764805,-0.0480642372764805,-0.0780043325228704,-0.0688604076382424
"52",-0.0373253793766495,-0.0336674489043893,-0.0334369565233395,-0.0454680817838332,-0.0464503704967124,-0.0464503704967124,-0.0780043325228704,-0.0688604076382424
"53",-0.0363728848058438,-0.0321502003286816,-0.0324612054740941,-0.0450576157260101,-0.0465854959277061,-0.0465854959277061,-0.0780043325228704,-0.0688604076382424
"54",-0.0351807555363972,-0.0299543083081434,-0.0302463459199835,-0.0393223401813316,-0.0448579276637105,-0.0448579276637105,-0.0780043325228704,-0.0688604076382424
"55",-0.036188142106452,-0.0337591050035773,-0.0411968131095589,-0.0478959381546548,-0.0441311893535274,-0.0441311893535274,-0.0780043325228704,-0.0688604076382424
"56",-0.0356896525554834,-0.0330813212310633,-0.0394234328342897,-0.0477900279925686,-0.0444186813880365,-0.0444186813880365,-0.0780027089906387,-0.0688604076382424
"57",-0.0346763307108436,-0.0310928075223594,-0.0358647915637286,-0.0432768679273904,-0.0437749310748894,-0.0437749310748894,-0.0780027089906387,-0.0688604076382424
"58",-0.0667377765511128,-0.0897508324102421,-0.234641218719893,-0.11027491723867,-0.0746104062891573,-0.0746104062891573,-0.0780027089906387,-0.0688604076382424
"59",-0.0651750378960442,-0.0825846203260363,-0.144212954803284,-0.102339549121171,-0.0642728029898562,-0.0642728029898562,-0.0780027089906387,-0.0688604076382424
"60",-0.0626133678273398,-0.0747817439686037,-0.0987958981605668,-0.0909745531098759,-0.0692715470158557,-0.0692715470158557,-0.0780027089906387,-0.0688604076382424
"61",-0.0596790484084924,-0.0516111159183647,-0.0715138013464885,-0.0792482358050084,-0.0650914499641739,-0.0650914499641739,-0.0778712637188658,-0.0688604076382424
"62",-0.0566812254979821,-0.0492133394764163,-0.0567681284470509,-0.0664783913956751,-0.0646471128841826,-0.0646471128841826,-0.0778712637188658,-0.0688604076382424
