"norm","t","skst","ald","aparch-skst","NA","fix.ald","his"
"133",-0.0479137856250842,-0.048678058638274,-0.0531137059910613,-0.0661935844153771,-0.0487390819824214,-0.0487390819824214,-0.0711805242839833,-0.0697673315626171
"134",-0.0458680242257794,-0.0464747585178827,-0.0531149437022821,-0.0557896246001479,-0.0517195332298658,-0.0517195332298658,-0.0711805242839833,-0.0697673315626171
"135",-0.0446496679287264,-0.0452029212527761,-0.0529115177988182,-0.0556457380767887,-0.0484548986067688,-0.0484548986067688,-0.0711805242839833,-0.0697673315626171
"136",-0.0428367764972877,-0.0432281757321501,-0.0528399087561863,-0.0478766986627195,-0.0500871245671145,-0.0500871245671145,-0.0711141811676654,-0.0697673315626171
"137",-0.0412600672956801,-0.0414902431517226,-0.0529655471250641,-0.0445028032031689,-0.0473999228890844,-0.0473999228890844,-0.0711141811676654,-0.0697673315626171
"138",-0.0410160506668892,-0.0413512383733895,-0.0532131939260771,-0.0508575525719224,-0.048519308495034,-0.048519308495034,-0.0711141811676654,-0.0697673315626171
"139",-0.0399075964262116,-0.0401515484556283,-0.0534068632397401,-0.0498687056018177,-0.0468431396688396,-0.0468431396688396,-0.0711141811676654,-0.0697673315626171
"140",-0.0386367561595876,-0.0386897054872722,-0.0532835234444059,-0.046949627928234,-0.0478658859359663,-0.0478658859359663,-0.0711141811676654,-0.0697673315626171
"141",-0.0380286654883733,-0.0379992695541511,-0.0537750828908515,-0.0492078959625338,-0.0455858480526909,-0.0455858480526909,-0.0711641969086578,-0.0697673315626171
"142",-0.0399540543391996,-0.0402314881742892,-0.0537781384938937,-0.0606378752499429,-0.0467338519195218,-0.0467338519195218,-0.0711641969086578,-0.0697673315626171
"143",-0.0384952139656329,-0.0385524466230603,-0.0537752988514227,-0.051071488682562,-0.0457423174089682,-0.0457423174089682,-0.0711641969086578,-0.0697673315626171
"144",-0.0375565953255616,-0.0375025393934044,-0.0537733983423332,-0.0494035937667327,-0.0454535309008497,-0.0454535309008497,-0.0711641969086578,-0.0697673315626171
"145",-0.0363567026054735,-0.0361063812186131,-0.0537708624931533,-0.0447549113932058,-0.0449435229759743,-0.0449435229759743,-0.0711641969086578,-0.0697673315626171
"146",-0.035097949477866,-0.0344722091820028,-0.0538559156885765,-0.0397283039669637,-0.044605297142173,-0.044605297142173,-0.0712034191385255,-0.0697673315626171
"147",-0.0370138734244679,-0.0366559032453609,-0.0536125591553471,-0.0534220198190103,-0.0460062229494498,-0.0460062229494498,-0.0712034191385255,-0.0697673315626171
"148",-0.0358178269549875,-0.0352581991583759,-0.0536958572108209,-0.0474684711280444,-0.0443224356266603,-0.0443224356266603,-0.0712034191385255,-0.0697673315626171
"149",-0.0346899654041701,-0.0339232820268862,-0.0536237145392392,-0.0430832356287834,-0.0450935522503155,-0.0450935522503155,-0.0712034191385255,-0.0697673315626171
"150",-0.0335974299805315,-0.0326165832660392,-0.0536500934259335,-0.0380765082360079,-0.0434070254951608,-0.0434070254951608,-0.0712034191385255,-0.0697673315626171
"151",-0.0344565980073151,-0.0337367919389551,-0.0536232173872538,-0.0475386210151686,-0.0451070246840373,-0.0451070246840373,-0.0711514320432285,-0.0691817044567841
"152",-0.033634171964523,-0.032782303269299,-0.0536211837550226,-0.0453656092116968,-0.0426563522067192,-0.0426563522067192,-0.0711514320432285,-0.0691817044567841
"153",-0.0329575145142087,-0.0320009462061149,-0.0536193396801853,-0.0443117304928084,-0.0439866971759981,-0.0439866971759981,-0.0711514320432285,-0.0691817044567841
"154",-0.0320125269065339,-0.0308464609179213,-0.053616897146225,-0.0404942218525244,-0.0422237636866356,-0.0422237636866356,-0.0711514320432285,-0.0691817044567841
"155",-0.0328410925109114,-0.031815410457795,-0.0536170495607118,-0.0482237415273767,-0.0441154041774555,-0.0441154041774555,-0.0711514320432285,-0.0691817044567841
