"norm","t","skst","ald","aparch-skst","fix.ald","his"
"18",-0.035868484492606,-0.0347977842110532,-0.0367372112052055,-0.0468274873520817,-0.0420454246888223,-0.0645019556122022,-0.0586223082962319
"19",-0.035641356293414,-0.0344036883735959,-0.0365111356927517,-0.04839135420275,-0.0416436197221185,-0.0645019556122022,-0.0586223082962319
"20",-0.0347057665414016,-0.0323720735119074,-0.0333356609043531,-0.0452417850564759,-0.0412113621448152,-0.0645019556122022,-0.0586223082962319
"21",-0.0342987444472647,-0.0319774067694471,-0.0334023061197242,-0.0468683744312431,-0.0412082003553531,-0.0643575448126723,-0.0586223082962319
"22",-0.0359258050235648,-0.0361568913859127,-0.0426519433989552,-0.0544245914618092,-0.0410302958258639,-0.0643575448126723,-0.0586223082962319
"23",-0.0347857176734639,-0.0334771716747076,-0.0368268100221756,-0.0481637406928988,-0.0406152816738289,-0.0643575448126723,-0.0586223082962319
"24",-0.0335885848533597,-0.0308635650220552,-0.0320615336935653,-0.0426135720508652,-0.0402836276994924,-0.0643575448126723,-0.0586223082962319
"25",-0.0358120737214051,-0.0370784221147399,-0.0465664149046198,-0.054511890615141,-0.0415636474077617,-0.0643575448126723,-0.0586223082962319
"26",-0.034534500485887,-0.0340449162276401,-0.0389017062770016,-0.0474649588800973,-0.0409313302833467,-0.0643290340206847,-0.0580438336933135
"27",-0.0333762399677396,-0.0313637772113092,-0.0337265887070351,-0.041431552738538,-0.0405271001703992,-0.0643290340206847,-0.0580438336933135
"28",-0.0348708217721337,-0.0350992954433201,-0.0416920144232047,-0.0497468490562176,-0.0402884823116743,-0.0643290340206847,-0.0580438336933135
"29",-0.0342857780372523,-0.0338081571547103,-0.0377388406130662,-0.0493620425121007,-0.0402256809096153,-0.0643290340206847,-0.0580438336933135
"30",-0.0346036110272767,-0.0347710701917998,-0.0388045856110574,-0.052998474251893,-0.0405602743999666,-0.0643290340206847,-0.0580438336933135
"31",-0.034078774207358,-0.0336362723107459,-0.0359583251206072,-0.0519014838776952,-0.0404933643806133,-0.064438491334386,-0.0580438336933135
"32",-0.0349815311895801,-0.0359476661995178,-0.0404473368046503,-0.0567732843960163,-0.0410705438158136,-0.064438491334386,-0.0580438336933135
"33",-0.0337368136570003,-0.0329432702574102,-0.034517981601555,-0.0473044248827741,-0.0406854531968134,-0.064438491334386,-0.0580438336933135
