"norm","t","skst","ald","aparch.t","fix.ald","his"
"17",-0.0358953208805395,-0.0342320652270197,-0.0471219078645829,-0.0480067217722535,-0.036710672949264,-0.0580422839738819,-0.059404044486833
"18",-0.0347618115312174,-0.03299721963017,-0.047231295759553,-0.0436382135376334,-0.0386032406925078,-0.0580422839738819,-0.059404044486833
"19",-0.0363758474063769,-0.0348188954188527,-0.0474187203851796,-0.0515883089974523,-0.0359877697022721,-0.0580422839738819,-0.059404044486833
"20",-0.0350410609721793,-0.0333737945672678,-0.0473689677831433,-0.0441802432760596,-0.038717089017442,-0.0580422839738819,-0.059404044486833
"21",-0.0340123631393333,-0.0319069624801161,-0.0473326490786273,-0.0387563137337565,-0.0354409942753602,-0.0579395145726906,-0.059404044486833
"22",-0.0331293155683419,-0.0309100365295424,-0.0474541727589814,-0.0373133691027761,-0.0373975562205467,-0.0579395145726906,-0.059404044486833
"23",-0.0320804666860496,-0.0297194095875254,-0.0475026432785503,-0.0337310833856463,-0.0351154675884815,-0.0579395145726906,-0.059404044486833
"24",-0.031390153004984,-0.0290365813411663,-0.047351710641635,-0.0347253168001771,-0.036930988569713,-0.0579395145726906,-0.059404044486833
"25",-0.0331137518051987,-0.0312058809065337,-0.0471584517710823,-0.0451543601229787,-0.0362821582388746,-0.0579395145726906,-0.059404044486833
"26",-0.0318429384059371,-0.0300576240146505,-0.0470312304591777,-0.040105520747602,-0.0357045321298747,-0.0579634544789642,-0.0592077995284743
"27",-0.0312562547201644,-0.0293824570361484,-0.0471781019644085,-0.0391135225072503,-0.0345649411606724,-0.0579634544789642,-0.0592077995284743
"28",-0.0329459830072841,-0.0312382670757154,-0.0473732961083583,-0.046654581092298,-0.0347468649212802,-0.0579634544789642,-0.0592077995284743
"29",-0.0332856768764184,-0.0317722252418506,-0.0471705201859676,-0.0494647538289428,-0.0362492053293289,-0.0579634544789642,-0.0592077995284743
"30",-0.033310587727646,-0.0319244373657397,-0.0469755815436821,-0.0503317220136523,-0.0353096632450057,-0.0579634544789642,-0.0592077995284743
"31",-0.0322342172411987,-0.0307241750395887,-0.0468493588167379,-0.0441985437646508,-0.0354108903236837,-0.0578794771377284,-0.0592077995284743
"32",-0.0324154995815221,-0.0310373924568739,-0.0466592638148473,-0.0465612625703216,-0.0355605918147243,-0.0578794771377284,-0.0592077995284743
"33",-0.0315343607155216,-0.0300546849929695,-0.046556331485027,-0.0427237479016185,-0.0349211479416714,-0.0578794771377284,-0.0592077995284743
"34",-0.0309725079653295,-0.0293802244304178,-0.0467068115341197,-0.0415980583056808,-0.0342939237327712,-0.0578794771377284,-0.0592077995284743
"35",-0.0328283079009091,-0.0313617093715607,-0.0468993602722601,-0.0493253348395228,-0.0340696911515347,-0.0578794771377284,-0.0592077995284743
"36",-0.0329727680795662,-0.0316446368682754,-0.0466542991156838,-0.0502396607771516,-0.0358658034267313,-0.05777829733149,-0.0592077995284743
"37",-0.031865610595941,-0.030367915516679,-0.0466852837211255,-0.0425597419962287,-0.0335972127311493,-0.05777829733149,-0.0592077995284743
"38",-0.0309526317693291,-0.0293368845790119,-0.0465986329838922,-0.0391536159440875,-0.0350942499245983,-0.05777829733149,-0.0592077995284743
"39",-0.0301217484496158,-0.0283492978106021,-0.0466980829357092,-0.0364607898518443,-0.0328096664759894,-0.05777829733149,-0.0592077995284743
"40",-0.0325161255286621,-0.0310872662065142,-0.0465244203035647,-0.0473868800327182,-0.0369411586091024,-0.05777829733149,-0.0592077995284743
