"norm","t","skst","ald","aparch.t","fix.ald","his"
"87",-0.0343463911065842,-0.034461816163548,-0.038329981126747,-0.0489031663164496,-0.0406636979077705,-0.061281840958719,-0.0585731032706451
"88",-0.0347742825952452,-0.0353158020641161,-0.0408952122645389,-0.0503560295328498,-0.0392055610241075,-0.061281840958719,-0.0585731032706451
"89",-0.0345956771446994,-0.034777115257626,-0.039548077422533,-0.0492468243464828,-0.0395893857444557,-0.061281840958719,-0.0585731032706451
"90",-0.0336119339639149,-0.0326021692789206,-0.0357202308779484,-0.045828684233129,-0.0399915877657866,-0.061281840958719,-0.0585731032706451
"91",-0.033761189217733,-0.0332363798678152,-0.0379068678338147,-0.0486721051856875,-0.0400264440164485,-0.0612474204220576,-0.0585731032706451
"92",-0.0333237955351963,-0.032406869170335,-0.0364823446053753,-0.0481556402519345,-0.0394733819506419,-0.0612474204220576,-0.0585731032706451
"93",-0.0332023166803517,-0.0322486438068796,-0.0366170505234612,-0.0474860658869147,-0.0373379125570366,-0.0612474204220576,-0.0585731032706451
"94",-0.0360982086915562,-0.0387241182123801,-0.053282749801359,-0.0556065933778882,-0.037635288062007,-0.0612474204220576,-0.0585731032706451
"95",-0.0350723956704384,-0.0360675771782922,-0.0439005161081849,-0.0493576051667333,-0.0382393602466342,-0.0612474204220576,-0.0585731032706451
"96",-0.0356893488774307,-0.0371570580176439,-0.0445369360527896,-0.0513991573825479,-0.0364207529782999,-0.0612028890657502,-0.0585731032706451
"97",-0.0344602871248217,-0.0342778741950828,-0.0381894949844704,-0.0459320610389113,-0.0388239068439828,-0.0612028890657502,-0.0585731032706451
"98",-0.0335873383380102,-0.032411817037637,-0.0351587786659567,-0.0441896030679345,-0.0366922058789257,-0.0612028890657502,-0.0585731032706451
"99",-0.0328606911662006,-0.0309326852371912,-0.0330105556052216,-0.0416575698181987,-0.0361711279966353,-0.0612028890657502,-0.0585731032706451
"100",-0.032662765938812,-0.0309085308727379,-0.0345170720143589,-0.044020009227097,-0.037961725246799,-0.0612028890657502,-0.0585731032706451
"101",-0.033570542813944,-0.0332152382517137,-0.0405415952934504,-0.0476537039503455,-0.0345050506866178,-0.0611598303930634,-0.0584390795633908
"102",-0.0426148269517187,-0.0512928072294169,-0.0861504914089281,-0.0668908702209592,-0.0368416726887378,-0.0611598303930634,-0.0584390795633908
"103",-0.0408644210348867,-0.0463939407452635,-0.0628160550015736,-0.0572305871173739,-0.0391164034152049,-0.0611598303930634,-0.0584390795633908
"104",-0.0399025647111499,-0.0434356076396478,-0.0507884433428362,-0.053194141946733,-0.0355205074554569,-0.0611598303930634,-0.0584390795633908
"105",-0.0394513058449266,-0.0419615796258451,-0.0456073956269872,-0.054179853759706,-0.0406914207989592,-0.0611598303930634,-0.0584390795633908
"106",-0.0390690322921095,-0.0408202464300544,-0.0435543337354943,-0.0532797770574689,-0.0350087768433378,-0.0611065518193433,-0.0584390795633908
"107",-0.0389750987609329,-0.0403195653825919,-0.0435900391112858,-0.0532954232767224,-0.0383958196381114,-0.0611065518193433,-0.0584390795633908
"108",-0.0375343678329594,-0.0370900316428493,-0.0376474039189217,-0.0478374073281884,-0.0369938471361949,-0.0611065518193433,-0.0584390795633908
"109",-0.0362163399140435,-0.0343026976121402,-0.0337180974913116,-0.0421884236857295,-0.0363609395594984,-0.0611065518193433,-0.0584390795633908
"110",-0.0380379768039484,-0.0390985965932939,-0.0472406950128451,-0.0530492747202516,-0.0411664587242304,-0.0611065518193433,-0.0584390795633908
"111",-0.0366056755906866,-0.0359098378231304,-0.0397830724421168,-0.0469219638034701,-0.0374773437439216,-0.0612210545618273,-0.0584390795633908
"112",-0.0352434063005649,-0.033056733955161,-0.0345613121768991,-0.0417564762756228,-0.0390487858884509,-0.0612210545618273,-0.0584390795633908
"113",-0.0492636237668912,-0.0620950600560811,-0.117491407312587,-0.0765649834647775,-0.0536393508650974,-0.0612210545618273,-0.0584390795633908
"114",-0.0468802612196636,-0.0553619524900841,-0.0789594814085448,-0.0613504322245717,-0.0474206790044817,-0.0612210545618273,-0.0584390795633908
"115",-0.0476579692808968,-0.0552229752023312,-0.0656047059659179,-0.0670397887006402,-0.0551016119446474,-0.0612210545618273,-0.0584390795633908
"116",-0.0470066218533958,-0.0450801454223092,-0.0555078913812851,-0.064758793450892,-0.0467821108649183,-0.0612355447741586,-0.0584390795633908
"117",-0.0457617992022357,-0.044084889291664,-0.048018584934405,-0.0603325897827744,-0.0513654435289842,-0.0612355447741586,-0.0584390795633908
"118",-0.0441269820980633,-0.0426129515609613,-0.0423880870631394,-0.0558641972020268,-0.0484352228185482,-0.0612355447741586,-0.0584390795633908
"119",-0.042145224362605,-0.040635367337261,-0.0363070109799619,-0.0471431063488126,-0.0481089549704058,-0.0612355447741586,-0.0584390795633908
"120",-0.040436377137427,-0.0389373725909564,-0.0330446437684322,-0.0430756481364369,-0.0469699354800329,-0.0612355447741586,-0.0584390795633908
"121",-0.0388933088521985,-0.037398091153389,-0.0310682547866011,-0.0404867576435208,-0.0462627089927984,-0.0610245329217496,-0.0584390795633908
"122",-0.0465129849177598,-0.0450313139130462,-0.0960394489815752,-0.0677051721140742,-0.0552874158748163,-0.0610245329217496,-0.0584390795633908
"123",-0.0443344227071175,-0.042889737302238,-0.0679017859394214,-0.0553510850295424,-0.0494129551686264,-0.0610245329217496,-0.0584390795633908
"124",-0.0424361874397746,-0.0410253102243941,-0.052497045706015,-0.0487522920593619,-0.0519598896769133,-0.0610245329217496,-0.0584390795633908
